temperature,humidity,winddirection,windspeed,precipitation,pm10
1.6,100,103,6.3,0.2,20.5214
1.4,99,97,5.8,0.3,23.7686
1.1,99,99,4.7,0.3,29.0437
0.9,100,105,4.1,0.2,42.282
0.9,100,101,3.7,0.1,45.7761
0.8,100,90,3.2,0.2,88.3457
0.8,100,81,2.2,0.2,79.5013
0.7,100,63,1.6,0.2,55.0083
0.6,100,56,1.3,0.1,39.5375
0.8,100,135,1.5,0.1,18.6515
0.8,99,146,1.3,0,15.2249
0.7,99,74,2.6,0,14.1342
0.6,100,53,1.8,0,24.073
0.6,100,45,2,0,31.3418
0.6,100,45,1,0,26.9293
0.5,99,45,0.5,0,28.1108
0.7,99,315,1.5,0,57.8931
0.7,100,309,2.3,0,60.702
1,99,315,1.5,0,57.5876
1.3,98,207,1.6,0.1,19.1314
1.7,95,231,2.3,0,17.1994
2.1,91,212,4.7,0,44.3221
2.4,88,204,7.1,0,52.3204
2.5,89,193,6.3,0,52.6615
2.2,91,185,4.3,0,75.0475
1.7,93,195,4.1,0,47.8418
1.4,94,198,4.6,0,40.1854
1.4,94,207,4.8,0,24.5951
1.3,94,210,5.8,0.1,51.1755
1.4,94,209,6.6,0.1,33.5855
1.6,95,209,6.6,0.1,25.6903
1.7,95,198,8,0.1,32.646
1.8,96,196,7.9,0.1,47.2194
1.9,96,198,7.2,0.1,44.0411
1.9,96,198,6.8,0.1,29.9118
1.9,96,197,7.5,0,16.9692
2,95,201,8.1,0,8.66113
1.9,95,195,8.2,0,8.63768
1.9,95,180,8.6,0,9.27369
2,95,173,9.4,0.1,24.0229
2.2,95,172,10.2,0.1,24.2897
2.5,95,160,11.5,0,15.1785
2.7,95,146,13,0,10.5775
2.9,91,138,13.5,0.1,8.93528
3,87,139,12,0.1,14.9438
3,85,143,12.1,0.1,12.9368
2.8,85,143,12.6,0,10.7618
2.6,86,139,12.5,0,11.1195
2.2,88,140,11.8,0,9.46083
1.8,90,143,11.3,0,12.5304
1.5,92,148,12.3,0,11.8717
1.4,92,152,13,0,24.1334
1.8,93,156,13.4,0,16.5076
1.7,93,158,13.6,0,11.1865
1.8,92,159,13.1,0,8.93036
1.8,93,170,12.1,0,6.37428
1.9,93,173,12,0.1,4.95135
1.9,93,175,11.9,0.1,2.87376
1.8,93,177,11.9,0.1,3.44559
1.7,93,177,12.3,0.1,5.51993
1.7,92,174,13,0.1,2.49944
1.7,92,168,14,0.1,0
1.6,92,167,14.4,0.1,9.53387
1.5,92,169,13.6,0.1,12.4362
1.2,92,173,12.7,0,6.7077
1.6,90,175,13.4,0,4.0319
2.1,88,178,13.3,0,3.88051
2.4,86,169,15,0,9.47255
2.7,83,163,16.2,0,8.97949
2.8,81,164,14.6,0,9.18052
2.7,80,165,14.1,0.1,9.59158
2.5,80,168,13.6,0,10.2127
2.1,80,172,13.4,0,15.4417
1.6,79,187,12.3,0,14.1949
1.1,80,192,12.1,0,16.9073
0.9,81,189,11.7,0,21.1854
0.6,82,183,11.9,0,17.2486
0.5,82,178,13.3,0,17.6129
0.3,81,180,14.8,0,8.1725
0.2,80,180,15.1,0,11.3047
0.2,78,180,17.6,0,10.702
0.2,77,184,17.3,0,7.86092
0.3,77,187,17.1,0,2.45859
0.4,78,190,17.2,0,3.71218
0.3,79,195,15.6,0,4.64515
0.4,79,202,15.2,0,2.3448
0.4,79,210,14.2,0,7.39318
0.3,79,217,14.4,0,19.499
0.3,81,217,15.4,0,15.7227
0.5,81,217,16.7,0,17.3801
1,78,221,18.6,0,23.8443
1.7,75,217,21.6,0,21.1931
2.2,72,222,22.2,0,19.7684
2.8,70,217,22.1,0,25.8692
2.9,71,213,19.3,0.1,12.7519
2.7,74,201,21.5,0.4,11.9866
2.6,78,199,22.1,0.3,7.31898
2.4,79,196,22.5,0.1,16.068
2.6,80,195,22.4,0,4.85459
2.8,80,196,22.5,0,11.9
3,81,198,22.7,0,7.47748
3.1,80,202,22.6,0,9.22055
3,80,203,23.1,0,9.32354
2.9,80,191,23.5,0.1,5.01998
2.7,82,186,24.3,0.1,2.08191
2.8,80,181,26.3,0.1,8.64746
2.8,80,179,27,0.1,6.12676
2.7,80,174,29.3,0.1,3.06692
2.7,78,170,31.4,0,9.23602
2.7,77,165,31.6,0,6.12068
2.6,76,165,31,0,4.29163
2.3,77,162,31,0,5.79667
2.3,78,160,32.2,0.1,10.6388
2.4,78,156,32.2,0.1,9.69976
2.7,77,153,32.2,0.1,14.1974
2.9,76,147,28.1,0,8.3422
2.9,76,149,30.7,0,11.7799
2.9,75,143,37.3,0,13.6938
3.1,74,145,29.2,0,20.3086
3.1,74,145,29,0,18.3759
2.9,74,144,27.1,0,12.8266
2.4,75,143,27.2,0,16.1636
1.8,75,141,26.9,0,16.6198
1.4,75,136,27,0.1,16.3426
1.4,76,133,25.2,0.1,18.6812
1,75,132,22.9,0,13.1324
0.7,75,131,21.4,0,10.0481
0.1,78,129,19.5,0,7.67872
-0.6,83,144,15.2,0,11.2552
-0.8,88,164,14.2,0,11.2631
-0.5,87,175,13.7,0,17.0119
-0.3,86,189,12,0,10.6829
0,84,206,11.6,0,15.6254
0.1,82,205,11.1,0,16.5387
0.2,80,212,11.5,0,17.8949
0.2,79,223,12.7,0,18.611
0.4,81,227,13.2,0,13.7532
1,82,228,16.6,0.1,11.197
1.5,83,227,19.1,0.2,14.046
2,83,225,21.9,0.3,8.94454
2.1,85,226,21.9,0.4,3.798
2,88,225,23.4,0.8,3.64572
2.2,89,219,25.6,1,4.30471
2.5,89,216,25,1.1,3.61733
2.9,87,215,24.6,0.7,2.83625
3,86,207,24.1,0.1,4.09562
3.4,85,214,24.7,0.1,7.998
3.8,83,203,26.3,0,5.29478
3.9,82,204,27.6,0.1,1.01988
4.4,81,201,28.9,0.1,0
5.2,80,199,29.3,0.1,2.03272
5.6,80,193,27,0.1,1.22272
5.8,80,181,32,0.2,3.40969
5.3,80,169,34.9,0.1,8.40819
4.9,76,167,36.2,0,9.15064
4.5,74,168,36.1,0,9.64975
4.1,74,168,36.9,0,10.5419
3.9,71,168,37.5,0,9.4265
3.5,69,171,37.2,0,11.7173
3.3,66,172,38.1,0,7.7697
3.5,67,170,39.8,0,14.0675
3.5,67,166,41.6,0.1,11.706
3.5,70,162,41.2,0.1,9.12715
3.7,71,153,38.5,0.1,20.1086
3.9,71,158,39.2,0.1,11.3376
4.4,67,156,41.1,0,12.2521
4.6,66,149,40.7,0,13.7852
4.5,67,150,39.3,0,11.0948
4.2,64,156,35.8,0,19.761
3.6,64,160,35,0,21.8396
3.3,65,157,36.3,0,17.5318
3,66,156,35.1,0,20.0797
2.6,69,156,32.7,0,19.8347
2.4,70,157,30.8,0,22.2301
2,71,158,28.7,0,24.0278
1.7,72,154,27.5,0,20.9037
